id,author_name,title,related_works,type,publication_year,concepts
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2342185764,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2951174005,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2949460484,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W1970587968,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2952256733,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2952573305,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2950674519,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2145535646,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2950613640,journal-article,1951,Reagent
https://openalex.org/W1775749144,Oliver H. Lowry,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,https://openalex.org/W2953256271,journal-article,1951,Reagent
https://openalex.org/W2100837269,Ulrich K. Laemmli,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,https://openalex.org/W2342600706,journal-article,1970,Bacteriophage
https://openalex.org/W2100837269,Ulrich K. Laemmli,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,https://openalex.org/W2949998934,journal-article,1970,Bacteriophage
https://openalex.org/W2100837269,Ulrich K. Laemmli,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,https://openalex.org/W3043266616,journal-article,1970,Bacteriophage
https://openalex.org/W2100837269,Ulrich K. Laemmli,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,https://openalex.org/W2949992629,journal-article,1970,Bacteriophage
